166.139.0.0/19,US,US-PA,Plymouth Meeting, 
166.139.128.0/20,US,US-PA,Plymouth Meeting,
166.139.144.0/20,US,US-IL,Hickory Hills,
166.139.160.0/20,US,US-TX,Euless,
166.139.176.0/20,US,US-CA,Sunnyvale,
166.139.192.0/20,US,US-PA,Plymouth Meeting,
166.139.208.0/20,US,US-IL,Hickory Hills,
166.139.224.0/20,US,US-TX,Euless,
166.139.240.0/20,US,US-CA,Sunnyvale,
166.139.32.0/19,US,US-IL,Hickory Hills,
166.139.64.0/19,US,US-TX,Euless,
166.139.96.0/19,US,US-CA,Sunnyvale,
166.140.0.0/17,US,US-CA,Sunnyvale,
166.140.128.0/17,US,US-CA,Sunnyvale,
166.141.0.0/17,US,US-TX,Euless,
166.141.128.0/18,US,US-PA,Plymouth Meeting,
166.141.192.0/18,US,US-TX,Euless,
166.142.0.0/17,US,US-IL,Hickory Hills,
166.142.128.0/17,US,US-TX,Euless,
166.143.0.0/16,US,US-PA,Plymouth Meeting,
166.144.0.0/16,US,US-CA,Sunnyvale,
166.145.0.0/16,US,US-PA,Plymouth Meeting,
166.146.0.0/17,US,US-TX,Euless,
166.146.128.0/17,US,US-TX,Euless,
166.147.128.0/18,US,US-CA,Sunnyvale,
166.147.192.0/18,US,US-CA,Sunnyvale,
166.148.0.0/18,US,US-PA,Plymouth Meeting,
166.148.128.0/18,US,US-TX,Euless,
166.148.192.0/18,US,US-PA,Plymouth Meeting,
166.148.64.0/18,US,US-CA,Sunnyvale,
166.149.0.0/18,US,US-IL,Hickory Hills,
166.149.128.0/18,US,US-PA,Plymouth Meeting,
166.149.192.0/18,US,US-TX,Euless,
166.149.64.0/18,US,US-CA,Sunnyvale,
166.150.0.0/19,US,US-PA,Plymouth Meeting,
166.150.128.0/19,US,US-PA,Plymouth Meeting,
166.150.160.0/19,US,US-PA,Plymouth Meeting,
166.150.192.0/19,US,US-IL,Hickory Hills,
166.150.224.0/19,US,US-IL,Hickory Hills,
166.150.32.0/19,US,US-PA,Plymouth Meeting,
166.150.64.0/19,US,US-TX,Euless,
166.150.96.0/19,US,US-TX,Euless,
166.151.0.0/17,US,US-PA,Plymouth Meeting,
166.151.128.0/17,US,US-PA,Plymouth Meeting,
166.152.0.0/16,US,US-IL,Hickory Hills,
166.153.0.0/16,US,US-TX,Euless,
166.154.0.0/16,US,US-CA,Sunnyvale,
166.155.0.0/16,US,US-TX,Euless,
166.156.0.0/17,US,US-IL,Hickory Hills,
166.156.128.0/17,US,US-IL,Hickory Hills,
166.157.0.0/17,US,US-PA,Plymouth Meeting,
166.157.128.0/17,US,US-IL,Hickory Hills,
166.158.0.0/18,US,US-PA,Plymouth Meeting,
166.158.112.0/20,US,US-IL,Hickory Hills,
166.158.128.0/18,US,US-TX,Euless,
166.158.192.0/18,US,US-CA,Sunnyvale,
166.158.64.0/20,US,US-IL,Hickory Hills,
166.158.80.0/20,US,US-IL,Hickory Hills,
166.158.96.0/20,US,US-IL,Hickory Hills,
166.159.0.0/18,US,US-TX,Euless,
166.159.128.0/18,US,US-IL,Hickory Hills,
166.159.192.0/18,US,US-IL,Hickory Hills,
166.159.64.0/18,US,US-PA,Plymouth Meeting,
166.160.0.0/18,US,US-TX,Euless,
166.160.128.0/18,US,US-IL,Hickory Hills,
166.160.192.0/18,US,US-TX,Euless,
166.160.64.0/18,US,US-PA,Plymouth Meeting,
166.161.0.0/18,US,US-TX,Euless,
166.161.128.0/18,US,US-CA,Sunnyvale,
166.161.192.0/18,US,US-PA,Plymouth Meeting,
166.161.64.0/18,US,US-PA,Plymouth Meeting,
166.162.0.0/18,US,US-TX,Euless,
166.162.128.0/18,US,US-CA,Sunnyvale,
166.162.192.0/18,US,US-PA,Plymouth Meeting,
166.162.64.0/18,US,US-PA,Plymouth Meeting,
166.163.0.0/18,US,US-TX,Euless,
166.163.128.0/18,US,US-IL,Hickory Hills,
166.163.192.0/18,US,US-IL,Hickory Hills,
166.163.64.0/19,US,US-PA,Plymouth Meeting,
166.163.96.0/19,US,US-PA,Plymouth Meeting,
166.164.0.0/16,US,US-CA,Sunnyvale,
166.165.0.0/16,US,US-IL,Hickory Hills,
166.166.0.0/16,US,US-TX,Euless,
166.167.0.0/17,US,US-CA,Sunnyvale,
166.167.128.0/17,US,US-CA,Sunnyvale,
166.168.0.0/16,US,US-TX,Euless,
166.169.0.0/16,US,US-TX,Euless,
166.180.0.0/17,US,US-IL,Hickory Hills,
166.180.128.0/17,US,US-IL,Hickory Hills,
166.211.0.0/17,US,US-CA,Sunnyvale,
166.211.128.0/17,US,US-CA,Sunnyvale,
166.239.0.0/18,US,US-PA,Plymouth Meeting,
166.239.128.0/18,US,US-PA,Plymouth Meeting,
166.239.192.0/18,US,US-TX,Euless,
166.239.64.0/18,US,US-TX,Euless,
166.240.0.0/18,US,US-TX,Euless,
166.240.128.0/18,US,US-CA,Sunnyvale,
166.240.192.0/18,US,US-PA,Plymouth Meeting,
166.240.64.0/18,US,US-IL,Hickory Hills,
166.241.0.0/18,US,US-TX,Euless,
166.241.128.0/18,US,US-CA,Sunnyvale,
166.241.192.0/18,US,US-PA,Plymouth Meeting,
166.241.64.0/18,US,US-IL,Hickory Hills,
166.242.0.0/16,US,US-CA,Sunnyvale,
166.243.0.0/16,US,US-TX,Euless,
166.244.0.0/16,US,US-IL,Hickory Hills,
166.245.0.0/16,US,US-PA,Plymouth Meeting,
166.246.0.0/16,US,US-IL,Hickory Hills,
166.247.0.0/16,US,US-TX,Euless,
